reviewStatus,compilerDecision,compilerNotes,compilerNumber,recordId,chapter,date,type,title,selectedNaid,selectedCatalogUrl,selectedPdfUrl,scheduleNaids,matchRank,matchScore,matchStatus,matchReasons,candidateId,lane,candidateDate,candidateTitle,candidateNaid,candidatePriority,sourceSeries,candidateCatalogUrl,candidatePdfUrl
,,,1.005,conversation-428080965,Greece,1990-08-22,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",428080965,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf,415890756; 415890757,2,69,Review likely source/context packet,same month: 1990-08; person signal: mitsotakis; document-type signal: telcon; country signal: greece,CC 013,Central Chronological Files,1990-08-01,August 1990 [6],470761712,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761712,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30509-003.pdf
,,,1.005,conversation-428080965,Greece,1990-08-22,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",428080965,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf,415890756; 415890757,3,69,Review likely source/context packet,same month: 1990-08; person signal: mitsotakis; document-type signal: telcon; country signal: greece,CC 041,Central Chronological Files,1990-08-01,August 1990 [2],470761708,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761708,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30508-006.pdf
,,,1.005,conversation-428080965,Greece,1990-08-22,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",428080965,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf,415890756; 415890757,4,64,Review likely source/context packet,same month: 1990-08; person signal: mitsotakis; document-type signal: telcon,CC 067,Central Chronological Files,1990-08-01,August 1990 [4],470761710,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761710,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30509-001.pdf
,,,1.006,conversation-428081201,Greece,1990-11-21,Memcon,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",428081201,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf,415890940; 415890941,1,91,Review likely source/context packet,chapter match: Greece; date-range signal: 11/13/90-12/21/90; person signal: mitsotakis; document-type signal: memcon; country signal: greece; high-value packet,RS 001-008,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 11/13/90-12/21/90,366551672,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551672,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91108-003.pdf
,,,1.006,conversation-428081201,Greece,1990-11-21,Memcon,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",428081201,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf,415890940; 415890941,2,69,Review likely source/context packet,same month: 1990-11; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 047,Central Chronological Files,1990-11-01,November 1990 [5],470761730,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761730,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30512-002.pdf
,,,1.006,conversation-428081201,Greece,1990-11-21,Memcon,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",428081201,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf,415890940; 415890941,3,69,Review likely source/context packet,same month: 1990-11; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 058,Central Chronological Files,1990-11-01,November 1990 [4],470761729,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761729,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30512-001.pdf
,,,1.006,conversation-428081201,Greece,1990-11-21,Memcon,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",428081201,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf,415890940; 415890941,4,64,Review likely source/context packet,same month: 1990-11; person signal: mitsotakis; document-type signal: memcon,CC 044,Central Chronological Files,1990-11-01,November 1990 [3],470761728,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761728,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30511-007.pdf
,,,1.007,conversation-428081343,Greece,1991-01-14,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",428081343,https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf,415891048; 415891049,1,72,Review likely source/context packet,same month: 1991-01; person signal: mitsotakis; document-type signal: telcon; open-first packet,CC 053,Central Chronological Files,1991-01-01,January 1991 [3],470761737,Open packet first,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761737,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30513-003.pdf
,,,1.007,conversation-428081343,Greece,1991-01-14,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",428081343,https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf,415891048; 415891049,2,69,Review likely source/context packet,same month: 1991-01; person signal: mitsotakis; document-type signal: telcon; country signal: greece,CC 025,Central Chronological Files,1991-01-01,January 1991 [2],470761736,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761736,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30513-002.pdf
,,,1.007,conversation-428081343,Greece,1991-01-14,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",428081343,https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf,415891048; 415891049,3,64,Review likely source/context packet,same month: 1991-01; person signal: mitsotakis; document-type signal: telcon,CC 068,Central Chronological Files,1991-01-01,January 1991 [1],470761735,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761735,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30513-001.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,1,99,Review likely source/context packet,"chapter match: Greece; same month: 1991-07; date signal: July 18, 1991; person signal: mitsotakis; country signal: greece; high-value packet",RS 002-008,Requested source pool: Presidential Daily File,1991-07-18 to 1991-07-18,"Thursday, July 18, 1991",470417258,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417258,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90609-009.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,2,91,Review likely source/context packet,chapter match: Greece; date-range signal: 7/11/91-7/22/91; person signal: mitsotakis; document-type signal: memcon; country signal: greece; high-value packet,RS 001-001,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91,366551676,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551676,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-001.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,3,69,Review likely source/context packet,same month: 1991-07; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 002,Central Chronological Files,1991-07-01,July 1991 [2],470761766,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761766,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30518-002.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,4,69,Review likely source/context packet,same month: 1991-07; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 024,Central Chronological Files,1991-07-01,July 1991 [3],470761767,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761767,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30518-003.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,5,69,Review likely source/context packet,chapter match: Greece; same month: 1991-07; person signal: mitsotakis; country signal: greece; high-value packet,RS 002-003,Requested source pool: Presidential Daily File,1991-07-20 to 1991-07-20,"Saturday, July 20, 1991",470417260,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417260,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90610-002.pdf
,,,1.008,conversation-428081777,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",428081777,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf,415891419; 415891420,6,69,Review likely source/context packet,chapter match: Greece; same month: 1991-07; person signal: mitsotakis; country signal: greece; high-value packet,RS 002-022,Requested source pool: Presidential Daily File,1991-07-19 to 1991-07-19,"Friday, July 19, 1991",470417259,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417259,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90610-001.pdf
,,,1.009,conversation-428082071,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",428082071,https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf,415891716; 415891717,1,99,Review likely source/context packet,"chapter match: Greece; same month: 1991-12; date signal: December 12, 1991; person signal: mitsotakis; country signal: greece; high-value packet",RS 002-021,Requested source pool: Presidential Daily File,1991-12-12 to 1991-12-12,"Thursday, December 12, 1991 [2]",470417495,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417495,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90640-002.pdf
,,,1.009,conversation-428082071,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",428082071,https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf,415891716; 415891717,2,91,Review likely source/context packet,chapter match: Greece; date-range signal: 10/16/91-12/17/91; person signal: mitsotakis; document-type signal: memcon; country signal: greece; high-value packet,RS 001-014,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 10/16/91-12/17/91,366551679,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551679,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-004.pdf
,,,1.009,conversation-428082071,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",428082071,https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf,415891716; 415891717,3,69,Review likely source/context packet,same month: 1991-12; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 014,Central Chronological Files,1991-12-01,December 1991 [1],470761786,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761786,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30522-001.pdf
,,,1.010,conversation-428082073,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",428082073,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf,415891716; 415891717,1,99,Review likely source/context packet,"chapter match: Greece; same month: 1991-12; date signal: December 12, 1991; person signal: mitsotakis; country signal: greece; high-value packet",RS 002-021,Requested source pool: Presidential Daily File,1991-12-12 to 1991-12-12,"Thursday, December 12, 1991 [2]",470417495,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417495,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90640-002.pdf
,,,1.010,conversation-428082073,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",428082073,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf,415891716; 415891717,2,91,Review likely source/context packet,chapter match: Greece; date-range signal: 10/16/91-12/17/91; person signal: mitsotakis; document-type signal: memcon; country signal: greece; high-value packet,RS 001-014,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 10/16/91-12/17/91,366551679,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551679,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-004.pdf
,,,1.010,conversation-428082073,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",428082073,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf,415891716; 415891717,3,69,Review likely source/context packet,same month: 1991-12; person signal: mitsotakis; document-type signal: memcon; country signal: greece,CC 014,Central Chronological Files,1991-12-01,December 1991 [1],470761786,Memcon/telcon search lead,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761786,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30522-001.pdf
,,,1.011,conversation-428082075,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3)",428082075,https://catalog.archives.gov/id/428082075,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-3.pdf,415891716; 415891717,1,99,Review likely source/context packet,"chapter match: Greece; same month: 1991-12; date signal: December 12, 1991; person signal: mitsotakis; country signal: greece; high-value packet",RS 002-021,Requested source pool: Presidential Daily File,1991-12-12 to 1991-12-12,"Thursday, December 12, 1991 [2]",470417495,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470417495,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1991/41-bpr-ootp-daily_files-90640-002.pdf
