reviewStatus,followUpOwner,targetDate,outcome,actionRank,priorityBand,actionType,chapter,date,candidateId,title,whyNow,nextAction,evidence,sourceArtifacts,catalogUrl,pdfUrl
,,,,146,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1990-12-16,Doc 3.027,"Telephone Call from Turgut Ozal, December 16, 1990",Marker / no memorandum listed; schedule NAIDs 415890990; 415890991; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.027, ""Telephone Call from Turgut Ozal, December 16, 1990"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.",[Presidential Daily Diary] 12/16/1990 - NAID 415890990 - Catalog: https://catalog.archives.gov/id/415890990 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-12_16_90-12845-005_415890990.pdf || [Presidential Daily Backup] 12/16/1990 - NAID 415890991 - Catalog: https://catalog.archives.gov/id/415890991 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-12_16_90-12845-006_415890991.pdf || rank 1 - Requested source pool: Scowcroft Papers - RS 001-023 - Presidential Telephone Calls--Memorandum of Conversations 10/11/90-12/31/90 - NAID 366551695,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081251,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-12-16--Ozal.pdf
,,,,147,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1991-01-16,Doc 3.031,"Telephone Call to Turgut Ozal, January 16, 1991",Marker / no memorandum listed; schedule NAIDs 415891052; 415891053; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.031, ""Telephone Call to Turgut Ozal, January 16, 1991"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.",[Presidential Daily Diary] 1/16/1991 - NAID 415891052 - Catalog: https://catalog.archives.gov/id/415891052 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_16_91-12847-001_415891052.pdf || [Presidential Daily Backup] 1/16/1991 - NAID 415891053 - Catalog: https://catalog.archives.gov/id/415891053 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_16_91-12847-002_415891053.pdf || rank 1 - Central Chronological Files - CC 053 - 1991-01-01 - January 1991 [3] - NAID 470761737 || rank 2 - Central Chronological Files - CC 025 - 1991-01-01 - January 1991 [2] - NAID 470761736 || rank 3 - Central Chronological Files - CC 068 - 1991-01-01 - January 1991 [1] - NAID 470761735,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081335,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-16--Ozal.pdf
,,,,148,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1991-03-27,Doc 3.040,"Telephone Call from Turgut Ozal, March 27, 1991",Marker / no memorandum listed; schedule NAIDs 415891192; 415891193; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.040, ""Telephone Call from Turgut Ozal, March 27, 1991"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.",[Presidential Daily Diary] 3/27/1991 - NAID 415891192 - Catalog: https://catalog.archives.gov/id/415891192 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-03_27_91-12852-015_415891192.pdf || [Presidential Daily Backup] 3/27/1991 - NAID 415891193 - Catalog: https://catalog.archives.gov/id/415891193 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-03_27_91-12852-016_415891193.pdf || rank 1 - Central Chronological Files - CC 077 - 1991-03-01 - March 1991 [1] - NAID 470761744 || rank 2 - Central Chronological Files - CC 040 - 1991-03-01 - March 1991 [4] - NAID 470761747,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081553,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-03-27--Ozal.pdf
,,,,150,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1991-05-07,Doc 3.046,"Telephone Call to Turgut Ozal, May 7, 1991",Marker / no memorandum listed; schedule NAIDs 415891274; 415891275; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.046, ""Telephone Call to Turgut Ozal, May 7, 1991"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.",[Presidential Daily Diary] 5/7/1991 - NAID 415891274 - Catalog: https://catalog.archives.gov/id/415891274 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-05_07_91-12856-013_415891274.pdf || [Presidential Daily Backup] 5/7/1991 - NAID 415891275 - Catalog: https://catalog.archives.gov/id/415891275 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-05_07_91-12856-014_415891275.pdf || rank 1 - Central Chronological Files - CC 048 - 1991-05-01 - May 1991 [2] - NAID 470761757,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081649,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-05-07--Ozal.pdf
,,,,200,P1 - citation blocker,Name/title spelling variant,Regional,1991-01-30,Scout 080,"President's Daily Diary Entry, January 30, 1991",fix before citation: Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/186336,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/1863/186336/content/arcmedia/media/images/40/20/40-1983a.gif
,,,,201,P1 - citation blocker,Name/title spelling variant,Turkey,1991-02-05,Scout 037,"President's Daily Diary Entry, February 5, 1991",fix before citation: Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,,202,P1 - citation blocker,Name/title spelling variant,Turkey,1991-02-05,Scout 037,"President's Daily Diary Entry, February 5, 1991",fix before citation: Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,,203,P1 - citation blocker,Name/title spelling variant,Turkey,1991-02-22,Scout 039,"President's Daily Diary Entry, February 22, 1991",fix before citation: Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/186359,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/59/1863/186359/content/arcmedia/media/images/40/23/40-2225a.gif
,,,,204,P1 - citation blocker,Title spelling variant,Greece,1991-07-20,Scout 023,Souda Bay Naval Stationn - Crete 7/20/91 [OA 8325] [2],"fix before citation: Found Stationn in title, documentTitle, sourceNote; review against preferred form Station.",Verify whether the Catalog title contains a typo before citation or selection.,"Found Stationn in title, documentTitle, sourceNote; review against preferred form Station.",reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/323153447,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_backup_chron_579003/41-bpr-speech-backup-chron-13765-001_323153447.pdf
,,,,205,P1 - citation blocker,Filename/date mismatch,Turkey,1989-05-29,Doc 3.002 / Schedule NAID 415889856,[Presidential Daily Diary] 5/29/1989 [EMPTY],"fix before citation: Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf.",Open the Catalog/PDF and verify the correct date before citation or selection.,"Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf.",reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/415889856,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf
,,,,206,P1 - citation blocker,Filename/date mismatch,Turkey,1989-05-29,Doc 3.002 / Schedule NAID 415889857,[Presidential Daily Backup] 5/29/1989,"fix before citation: Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf.",Open the Catalog/PDF and verify the correct date before citation or selection.,"Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf.",reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/415889857,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf
,,,,207,P1 - citation blocker,Name/title spelling variant,Turkey,1991-01-30,Doc 3.033 / Schedule NAID 186336,"President's Daily Diary Entry, January 30, 1991",fix before citation: Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,reports/compiler-data-quality-audit.md | reports/compiler-data-quality-audit.csv,https://catalog.archives.gov/id/186336,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/1863/186336/content/arcmedia/media/images/40/20/40-1983a.gif
