reviewStatus,compilerDecision,compilerNotes,chapter,rowType,priority,candidateId,date,title,lane,reason,sourceNote,researchNote,catalogUrl,pdfUrl
,,,Greece,Selected chronology,Selected,Doc 1.011,1991-12-12,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3)",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3). Release status: Full. NAID 428082075.",PDF extent: 5 pages. Digital object: 1991-12-12--Mitsotakis-3.pdf. Catalog: https://catalog.archives.gov/id/428082075.,https://catalog.archives.gov/id/428082075,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-3.pdf
,,,Greece,Selected chronology,Selected,Doc 1.012,1992-06-10,"Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992",Telcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992. Release status: Full. NAID 428082239.",PDF extent: 3 pages. Digital object: 1992-06-10--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428082239.,https://catalog.archives.gov/id/428082239,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-06-10--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.013,1992-07-09,"Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992. Release status: Full. NAID 428082291.",PDF extent: 5 pages. Digital object: 1992-07-09--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428082291.,https://catalog.archives.gov/id/428082291,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-07-09--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.014,1992-11-17,"Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992. Release status: Full. NAID 428082333.",PDF extent: 7 pages. Digital object: 1992-11-17--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428082333.,https://catalog.archives.gov/id/428082333,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-17--Mitsotakis.pdf
,,,Greece,Source lead,743 / Open first,CC 007,1992-11-01,November 1992 [2],Central Chronological Files,02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.) | Mitsotakis + memcon | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Demirel + memcon | Demirel + telcon,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, November 1992 [2]. Access restriction: Restricted - Possibly. NAID 470761834.","Query hit(s): Mitsotakis + memcon, Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Demirel + memcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + memcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.). PDF extent: 142 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf. Catalog: https://catalog.archives.gov/id/470761834.",https://catalog.archives.gov/id/470761834,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf
,,,Greece,Source lead,737 / Open first,BC 001,1989-06-01,June 1989 [6],Blackwill Chronological Files,"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, June 1989 [6]. Access restriction: Restricted - Possibly. NAID 453248088.","Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May. PDF extent: 149 pages. Digital object: 41-bpr-nsc-blackwill_chron-30545-006.pdf. Catalog: https://catalog.archives.gov/id/453248088.",https://catalog.archives.gov/id/453248088,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30545-006.pdf
,,,Greece,Source lead,737 / Open first,BC 002,1989-07-01,July 1989 [2],Blackwill Chronological Files,"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, July 1989 [2]. Access restriction: Restricted - Possibly. NAID 453248091.","Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou. PDF extent: 151 pages. Digital object: 41-bpr-nsc-blackwill_chron-30546-002.pdf. Catalog: https://catalog.archives.gov/id/453248091.",https://catalog.archives.gov/id/453248091,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30546-002.pdf
,,,Greece,Source lead,704 / Open first,CC 018,1992-07-01,July 1992 [3],Central Chronological Files,03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g | Mitsotakis + memcon | Mitsotakis + memorandum of conversation | Vassiliou + memcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + memcon | Demirel + memcon | Yilmaz + memcon,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, July 1992 [3]. Access restriction: Restricted - Possibly. NAID 470761820.","Query hit(s): Mitsotakis + memcon, Mitsotakis + memorandum of conversation, Vassiliou + memcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + memcon, Demirel + memcon, Yilmaz + memcon, Greece / Turkey / Cyprus + memcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g. PDF extent: 167 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf. Catalog: https://catalog.archives.gov/id/470761820.",https://catalog.archives.gov/id/470761820,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf
,,,Greece,Source lead,642 / High-value source pool,RS 001-001,,Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91,Requested source pool: Scowcroft Papers,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkey | Turkish,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/11/91-7/22/91. Access restriction: Restricted - Possibly. NAID 366551676.","Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkey, Turkish, Ozal, Yilmaz, PKK, Aegean, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-001.pdf. Catalog: https://catalog.archives.gov/id/366551676.",https://catalog.archives.gov/id/366551676,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-001.pdf
,,,Greece,Source lead,587 / High-value source pool,RS 001-002,,Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92,Requested source pool: Scowcroft Papers,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Clerides | Demirel,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/9/92-12/22/92. Access restriction: Restricted - Possibly. NAID 366551685.","Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Clerides, Demirel, PKK, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91110-002.pdf. Catalog: https://catalog.archives.gov/id/366551685.",https://catalog.archives.gov/id/366551685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91110-002.pdf
,,,Greece,Source lead,568 / Open first,CC 075,1990-06-01,June 1990 [5],Central Chronological Files,Re: Meeting and Lunch with Prime Minister Mitsotakis (3 pp.) | 04b. Talking Points Points to be Made for Meeting with Mitsotakis (5 pp.) n.d. (b)(1) S 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) | 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) 04d. Report Government Report (2 pp.) 4/30/90 (b)(1) S | Mitsotakis + memorandum of conversation | Greek-Turkish + memorandum | Cyprus + memorandum of conversation | Turkey + memorandum of conversation,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, June 1990 [5]. Access restriction: Restricted - Possibly. NAID 470761700.","Query hit(s): Mitsotakis + memorandum of conversation, Greek-Turkish + memorandum, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: Re: Meeting and Lunch with Prime Minister Mitsotakis (3 pp.) | 04b. Talking Points Points to be Made for Meeting with Mitsotakis (5 pp.) n.d. (b)(1) S 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) | 04c. Talking Points Points to be Made for Meeting with Mitsotakis (6 pp.) n.d. (b)(1) N) 04d. Report Government Report (2 pp.) 4/30/90 (b)(1) S. PDF extent: 95 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30507-004.pdf. Catalog: https://catalog.archives.gov/id/470761700.",https://catalog.archives.gov/id/470761700,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30507-004.pdf
,,,Greece,Source lead,567 / High-value source pool,RS 001-003,,Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92,Requested source pool: Scowcroft Papers,Greece | Greek | Mitsotakis | Cyprus | Cypriot | Vassiliou | Denktash | Turkish | Demirel | Eastern Mediterranean,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92. Access restriction: Restricted - Possibly. NAID 366551682.","Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Cypriot, Vassiliou, Denktash, Turkish, Demirel, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-007.pdf. Catalog: https://catalog.archives.gov/id/366551682.",https://catalog.archives.gov/id/366551682,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-007.pdf
,,,Greece,Source lead,564 / High-value source pool,RS 001-004,,Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92,Requested source pool: Scowcroft Papers,Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Demirel | PKK | Aegean,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/1/92-2/27/92. Access restriction: Restricted - Possibly. NAID 366551681.","Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Denktash, Turkey, Turkish, Demirel, PKK, Aegean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91109-006.pdf. Catalog: https://catalog.archives.gov/id/366551681.",https://catalog.archives.gov/id/366551681,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91109-006.pdf
,,,Greece,Source lead,562 / High-value source pool,RS 001-005,,Presidential Telephone Calls--Memorandum of Conversations 8/22/90-10/5/90,Requested source pool: Scowcroft Papers,Greece | Greek | Mitsotakis | Cyprus | Vassiliou | Turkey | Turkish | Ozal | Eastern Mediterranean | Greece / Turkey / Cyprus,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 8/22/90-10/5/90. Access restriction: Restricted - Possibly. NAID 366551694.","Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Vassiliou, Turkey, Turkish, Ozal, Eastern Mediterranean, Greece / Turkey / Cyprus, telcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-scow-pcor-telcon-91112-002.pdf. Catalog: https://catalog.archives.gov/id/366551694.",https://catalog.archives.gov/id/366551694,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91112-002.pdf
,,,Greece,Source lead,558 / Open first,BC 020,1990-03-01,Mar-90,Blackwill Chronological Files,"consensus. | Aegean No None None Turkey probably will not support sanctions. Little change, except for Greece where new | Greece may follow EC consensus. conservative government may be more | Greece | Turkey | Aegean | memorandum of conversation | telephone conversation","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, Mar-90. Access restriction: Restricted - Possibly. NAID 453248108.","Query hit(s): Greece, Turkey, Aegean, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: consensus. | Aegean No None None Turkey probably will not support sanctions. Little change, except for Greece where new | Greece may follow EC consensus. conservative government may be more. PDF extent: 39 pages. Digital object: 41-bpr-nsc-blackwill_chron-30547-012.pdf. Catalog: https://catalog.archives.gov/id/453248108.",https://catalog.archives.gov/id/453248108,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30547-012.pdf
,,,Greece,Source lead,555 / High-value source pool,RS 001-006,,Presidential Listing of 1989-1992 Meetings/Telephone Calls,Requested source pool: Scowcroft Papers,Greece | Papandreou | Mitsotakis | Zolotas | Cyprus | Vassiliou | Turkey | Ozal | Demirel | Yilmaz,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Brent Scowcroft Administrative Files, Presidential Listing of 1989-1992 Meetings/Telephone Calls. Access restriction: Restricted - Possibly. NAID 366552177.","Query hit(s): Greece, Papandreou, Mitsotakis, Zolotas, Cyprus, Vassiliou, Turkey, Ozal, Demirel, Yilmaz, Greece / Turkey / Cyprus. Digital object: 41-bpr-scow-admin-85038-002.pdf. Catalog: https://catalog.archives.gov/id/366552177.",https://catalog.archives.gov/id/366552177,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85038-002.pdf
,,,Greece,Source lead,550 / High-value source pool,RS 001-007,,Presidential Meetings--Memorandum of Conversations 1/11/90-2/21/90,Requested source pool: Scowcroft Papers,Greece | Greek | Cyprus | Vassiliou | Denktash | Turkey | Turkish | Ozal | Eastern Mediterranean | Greece / Turkey / Cyprus,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/11/90-2/21/90. Access restriction: Restricted - Possibly. NAID 366551666.","Query hit(s): Greece, Greek, Cyprus, Vassiliou, Denktash, Turkey, Turkish, Ozal, Eastern Mediterranean, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91107-007.pdf. Catalog: https://catalog.archives.gov/id/366551666.",https://catalog.archives.gov/id/366551666,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-007.pdf
,,,Greece,Source lead,546 / High-value source pool,RS 001-008,,Presidential Meetings--Memorandum of Conversations 11/13/90-12/21/90,Requested source pool: Scowcroft Papers,Greece | Greek | Mitsotakis | Cyprus | Denktash | Turkey | Turkish | Ozal | Incirlik | Greece / Turkey / Cyprus,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 11/13/90-12/21/90. Access restriction: Restricted - Possibly. NAID 366551672.","Query hit(s): Greece, Greek, Mitsotakis, Cyprus, Denktash, Turkey, Turkish, Ozal, Incirlik, Greece / Turkey / Cyprus, memcon, memorandum of conversation. Digital object: 41-bpr-scow-pcor-memcon-91108-003.pdf. Catalog: https://catalog.archives.gov/id/366551672.",https://catalog.archives.gov/id/366551672,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91108-003.pdf
,,,Greece,Source lead,541 / High-value source pool,RS 001-009,,Desert Shield/Desert Storm (September 1990) Part I [2],Requested source pool: Scowcroft Papers,Greece | Greek | Papandreou | Mitsotakis | Cyprus | Turkey | Turkish | Ozal | Yilmaz | Aegean,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Desert Shield and Desert Storm Files, Desert Shield/Desert Storm (September 1990) Part I [2]. Access restriction: Restricted - Possibly. NAID 366551957.","Query hit(s): Greece, Greek, Papandreou, Mitsotakis, Cyprus, Turkey, Turkish, Ozal, Yilmaz, Aegean, Greece / Turkey / Cyprus. Digital object: 41-bpr-scow-dsds-chr-91144-002.pdf. Catalog: https://catalog.archives.gov/id/366551957.",https://catalog.archives.gov/id/366551957,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4708319/41-bpr-scow-dsds-chr-91144-002.pdf
