reviewStatus,compilerDecision,compilerNotes,draftDocumentNumber,compilerNumber,chapter,date,headingDraft,title,participants,releaseStatus,accessRestriction,pageCount,naid,catalogDerivedSourceNote,sourceNoteProvenance,currentSourceNote,sourceNoteGaps,scheduleEvidence,catalogUrl,pdfUrl
,,,11,1.011,Greece,1991-12-12,Memorandum of Conversation,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3)",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,5,428082075,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428082075; PDF extent: 5 pages; digital object: 1991-12-12--Mitsotakis-3.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 12/12/1991 - NAID 415891716 || [Presidential Daily Backup] 12/12/1991 - NAID 415891717,https://catalog.archives.gov/id/428082075,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-3.pdf
,,,12,1.012,Greece,1992-06-10,Memorandum of Telephone Conversation,"Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,3,428082239,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428082239; PDF extent: 3 pages; digital object: 1992-06-10--Mitsotakis.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 6/10/1992 - NAID 415892082 || [Presidential Daily Backup] 6/10/1992 - NAID 415892083,https://catalog.archives.gov/id/428082239,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-06-10--Mitsotakis.pdf
,,,13,1.013,Greece,1992-07-09,Memorandum of Conversation,"Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,5,428082291,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428082291; PDF extent: 5 pages; digital object: 1992-07-09--Mitsotakis.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 1.013 / Schedule NAID 415892141)",[Presidential Daily Diary] 7/9/1992 [EMPTY] - NAID 415892141 || [Presidential Daily Backup] 7/9/1992 - NAID 415892142,https://catalog.archives.gov/id/428082291,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-07-09--Mitsotakis.pdf
,,,14,1.014,Greece,1992-11-17,Memorandum of Conversation,"Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992",George H. W. Bush; Constantine Mitsotakis,Full,Unrestricted,7,428082333,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428082333; PDF extent: 7 pages; digital object: 1992-11-17--Mitsotakis.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 11/17/1992 - NAID 415892404 || [Presidential Daily Backup] 11/17/1992 - NAID 415892405,https://catalog.archives.gov/id/428082333,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-17--Mitsotakis.pdf
,,,15,2.001,Cyprus,1989-10-04,Memorandum of Conversation,"Meeting with George Vassiliou, President of Cyprus",George H. W. Bush; George Vassiliou,Full,Unrestricted,6,428080249,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with George Vassiliou, President of Cyprus.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080249; PDF extent: 6 pages; digital object: 1989-10-04--Vassiliou.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with George Vassiliou, President of Cyprus.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 10/4/1989 - NAID 415890112 || [Presidential Daily Backup] 10/4/1989 - NAID 415890113,https://catalog.archives.gov/id/428080249,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-10-04--Vassiliou.pdf
,,,16,2.002,Cyprus,1990-08-25,Memorandum of Telephone Conversation,"Telephone Conversation with President George Vassiliou of Cyprus, August 25, 1990",George H. W. Bush; George Vassiliou,Full,Unrestricted,3,428080971,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President George Vassiliou of Cyprus, August 25, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080971; PDF extent: 3 pages; digital object: 1990-08-25--Vassiliou.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President George Vassiliou of Cyprus, August 25, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 2.002 / Schedule NAID 415890762)",[Presidential Daily Diary] 8/25/1990 [EMPTY] - NAID 415890762 || [Presidential Daily Backup] 8/25/1990 - NAID 415890763,https://catalog.archives.gov/id/428080971,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-25--Vassiliou.pdf
,,,17,2.003,Cyprus,1992-03-30,Memorandum of Conversation,"Meeting with George Vassiliou, President of Cyprus, March 30, 1992",George H. W. Bush; George Vassiliou,Partial,Restricted - Partly,6,428082149,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with George Vassiliou, President of Cyprus, March 30, 1992.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428082149; PDF extent: 6 pages; digital object: 1992-03-30--Vassiliou.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with George Vassiliou, President of Cyprus, March 30, 1992.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 3/30/1992 - NAID 415891936 || [Presidential Daily Backup] 3/30/1992 - NAID 415891937,https://catalog.archives.gov/id/428082149,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-30--Vassiliou.pdf
,,,18,3.001,Turkey,1989-02-24,Memorandum of Conversation,"President's Meeting with Prime Minister Turgut Ozal of Turkey, February 24, 1989",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428079863,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Meeting with Prime Minister Turgut Ozal of Turkey, February 24, 1989.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428079863; PDF extent: 5 pages; digital object: 1989-02-24--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Meeting with Prime Minister Turgut Ozal of Turkey, February 24, 1989.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.001 / Schedule NAID 415889668)",[Presidential Daily Diary] 2/24/1989 [EMPTY] - NAID 415889668 || [Presidential Daily Backup] 2/24/1989 - NAID 415889669,https://catalog.archives.gov/id/428079863,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Ozal.pdf
,,,19,3.002,Turkey,1989-05-29,Editorial Note / Document Search Pending,"Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon)",George H. W. Bush; Turgut Ozal,Marker / no memorandum listed,Unrestricted,2,428082487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428082487; PDF extent: 2 pages; digital object: 1989-05-29--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection | Verify document type against source series: memcon-type title is cataloged in Presidential Telcon Files | Resolve data-quality issue(s): Filename/date mismatch (Doc 3.002 / Schedule NAID 415889856); Filename/date mismatch (Doc 3.002 / Schedule NAID 415889857); Schedule title caveat (Doc 3.002 / Schedule NAID 415889856)",[Presidential Daily Diary] 5/29/1989 [EMPTY] - NAID 415889856 || [Presidential Daily Backup] 5/29/1989 - NAID 415889857,https://catalog.archives.gov/id/428082487,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-29--Ozal.pdf
,,,20,3.003,Turkey,1989-07-03,Memorandum of Telephone Conversation,"Telephone Call to Prime Minister Turgut Ozal of Turkey, July 3, 1989",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080111,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Turgut Ozal of Turkey, July 3, 1989.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080111; PDF extent: 3 pages; digital object: 1989-07-03--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Turgut Ozal of Turkey, July 3, 1989.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.003 / Schedule NAID 415889926)",[Presidential Daily Diary] 7/3/1989 [EMPTY] - NAID 415889926 || [Presidential Daily Backup] 7/3/1989 - NAID 415889927,https://catalog.archives.gov/id/428080111,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-03--Ozal.pdf
