reviewStatus,followUpOwner,outcome,severity,lane,candidateId,chapter,date,title,issue,detail,suggestedAction,catalogUrl,pdfUrl
,,,fix before citation,Schedule corroboration,Doc 3.034 / Schedule NAID 186342,Turkey,1991-02-05,"President's Daily Diary Entry, February 5, 1991",Name/title spelling variant,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,fix before citation,Schedule corroboration,Doc 3.034 / Schedule NAID 415891092,Turkey,1991-02-05,[Presidential Daily Diary] 2/5/1991,Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/415891092,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,fix before citation,Schedule corroboration,Doc 3.034 / Schedule NAID 415891092,Turkey,1991-02-05,[Presidential Daily Diary] 2/5/1991,Name/title spelling variant,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/415891092,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,fix before citation,Schedule corroboration,Doc 3.036 / Schedule NAID 415891120,Turkey,1991-02-19,[Presidential Daily Diary] 2/19/1991,Name/title spelling variant,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/415891120,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/1863/186356/content/arcmedia/media/images/40/22/40-2184a.gif
,,,fix before citation,Selected chronology,Doc 1.001,Greece,1989-05-30,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",Name/title spelling variant,"Found Papandreaou in title, documentTitle, sourceNote; review against preferred form Papandreou.",Verify whether to preserve the Catalog title spelling or normalize in compiler notes.,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf
,,,fix before citation,Selected chronology,Doc 3.057,Turkey,1992-01-12,"Telcon with President Turgut Ozal of Turkey, January 12, 1991",Filename/date mismatch,"Item date is 1992-01-12, but digital object filename suggests 1991-01-12: 1991-01-12--Ozal.pdf.",Open the Catalog/PDF and verify the correct date before citation or selection.,https://catalog.archives.gov/id/428082117,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-12--Ozal.pdf
,,,review,NARA Scout,Scout 048,Turkey,1989-01-01,Turkey 7/19/20 [OA 8325],Suspect date token in title,"Title contains 7/19/20, which may be a truncated or miscoded Bush-era date.",Verify the title/date against the PDF and Catalog record before relying on this lead.,https://catalog.archives.gov/id/323153443,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_backup_chron_579003/41-bpr-speech-backup-chron-13764-009_323153443.pdf
,,,review,Requested source pool,RS 001,Cross-chapter,1989-01-01 to 1993-12-31,Brent Scowcroft Papers,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=4522156&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/4522156,
,,,review,Requested source pool,RS 004,Cross-chapter,1989-01-20 to 1993-01-20,H-Files - National Security Council (NSC) Meeting Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=312293887&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/312293887,
,,,review,Requested source pool,RS 005,Cross-chapter,1989-01-20 to 1993-01-20,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=312294079&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/312294079,
,,,review,Requested source pool,RS 006,Cross-chapter,1989-01-20 to 1993-01-20,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Follow-up Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=312294094&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/312294094,
,,,review,Requested source pool,RS 007,Cross-chapter,1989-01-20 to 1993-01-20,H-Files - National Security Review (NSR) Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=313189297&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/313189297,
,,,review,Requested source pool,RS 008,Cross-chapter,1989-01-20 to 1993-01-20,National Security Directives (NSD) Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=313189290&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/313189290,
,,,review,Requested source pool,RS 009,Cross-chapter,1989-01-20 to 1993-01-20,National Security Council (NSC) Institutional Files (IF) Transition Files,Catalog child-harvest caveat,Catalog returned HTML for q=*&ancestorNaId=348937136&limit=200,Use the Search Within URL or direct Catalog page to continue source-pool review.,https://catalog.archives.gov/id/348937136,
,,,review,Selected chronology,Doc 3.065,Turkey,1992-12-05,"Telcon with President Turgut Ozal of Turkey, December 5, 1992",Missing schedule corroboration,Selected chronology row has no attached Presidential Daily Diary/Backup reference.,Check Presidential Daily Diary/Backup folders for same-date corroboration.,https://catalog.archives.gov/id/428082409,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-12-05--Ozal.pdf
,,,caveat,Schedule corroboration,Doc 3.001 / Schedule NAID 415889668,Turkey,1989-02-24,[Presidential Daily Diary] 2/24/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 2/24/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415889668,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-015_415889668.pdf
,,,caveat,Schedule corroboration,Doc 3.002 / Schedule NAID 415889856,Turkey,1989-05-29,[Presidential Daily Diary] 5/29/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 5/29/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415889856,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf
,,,caveat,Schedule corroboration,Doc 1.001 / Schedule NAID 415889858,Greece,1989-05-30,[Presidential Daily Diary] 5/30/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 5/30/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415889858,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_30_89-12798-011_415889858.pdf
,,,caveat,Schedule corroboration,Doc 3.003 / Schedule NAID 415889926,Turkey,1989-07-03,[Presidential Daily Diary] 7/3/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 7/3/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415889926,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-07_03_89-12801-007_415889926.pdf
,,,caveat,Schedule corroboration,Doc 1.003 / Schedule NAID 415890220,Greece,1989-11-27,[Presidential Daily Diary] 11/27/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 11/27/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890220,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_27_89-12812-011_415890220.pdf
,,,caveat,Schedule corroboration,Doc 3.007 / Schedule NAID 415890220,Turkey,1989-11-27,[Presidential Daily Diary] 11/27/1989 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 11/27/1989 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890220,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_27_89-12812-011_415890220.pdf
,,,caveat,Schedule corroboration,Doc 3.008 / Schedule NAID 415890324,Turkey,1990-01-18,[Presidential Daily Diary] 1/18/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 1/18/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890324,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-015_415890324.pdf
,,,caveat,Schedule corroboration,Doc 3.009 / Schedule NAID 415890324,Turkey,1990-01-18,[Presidential Daily Diary] 1/18/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 1/18/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890324,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-015_415890324.pdf
,,,caveat,Schedule corroboration,Doc 3.014 / Schedule NAID 415890728,Turkey,1990-08-08,[Presidential Daily Diary] 8/8/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/8/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890728,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_08_90-12834-003_415890728.pdf
,,,caveat,Schedule corroboration,Doc 3.016 / Schedule NAID 415890744,Turkey,1990-08-16,[Presidential Daily Diary] 8/16/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/16/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890744,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_16_90-12834-019_415890744.pdf
,,,caveat,Schedule corroboration,Doc 3.017 / Schedule NAID 415890752,Turkey,1990-08-20,[Presidential Daily Diary] 8/20/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/20/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890752,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_20_90-12834-027_415890752.pdf
,,,caveat,Schedule corroboration,Doc 1.005 / Schedule NAID 415890756,Greece,1990-08-22,[Presidential Daily Diary] 8/22/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/22/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890756,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_22_90-12834-031_415890756.pdf
,,,caveat,Schedule corroboration,Doc 2.002 / Schedule NAID 415890762,Cyprus,1990-08-25,[Presidential Daily Diary] 8/25/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/25/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890762,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_25_90-12834-037_415890762.pdf
,,,caveat,Schedule corroboration,Doc 3.018 / Schedule NAID 415890772,Turkey,1990-08-30,[Presidential Daily Diary] 8/30/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 8/30/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890772,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_30_90-12835-005_415890772.pdf
,,,caveat,Schedule corroboration,Doc 3.019 / Schedule NAID 415890786,Turkey,1990-09-06,[Presidential Daily Diary] 9/6/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 9/6/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890786,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-09_06_90-12835-019_415890786.pdf
,,,caveat,Schedule corroboration,Doc 3.024 / Schedule NAID 415890938,Turkey,1990-11-20,[Presidential Daily Diary] 11/20/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 11/20/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890938,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-11_20_90-12842-027_415890938.pdf
,,,caveat,Schedule corroboration,Doc 1.006 / Schedule NAID 415890940,Greece,1990-11-21,[Presidential Daily Diary] 11/21/1990 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 11/21/1990 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415890940,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-11_21_90-12843-001_415890940.pdf
,,,caveat,Schedule corroboration,Doc 3.062 / Schedule NAID 415892114,Turkey,1992-06-26,[Presidential Daily Diary] 6/26/1992 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 6/26/1992 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415892114,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-06_26_92-12894-003_415892114.pdf
,,,caveat,Schedule corroboration,Doc 1.013 / Schedule NAID 415892141,Greece,1992-07-09,[Presidential Daily Diary] 7/9/1992 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 7/9/1992 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415892141,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-07_09_92-12895-013_415892141.pdf
,,,caveat,Schedule corroboration,Doc 3.063 / Schedule NAID 415892141,Turkey,1992-07-09,[Presidential Daily Diary] 7/9/1992 [EMPTY],Schedule title caveat,Schedule title includes [EMPTY]: [Presidential Daily Diary] 7/9/1992 [EMPTY].,Use as schedule corroboration only after reviewing the PDF content.,https://catalog.archives.gov/id/415892141,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-07_09_92-12895-013_415892141.pdf
